gameid,teamname,result,assists,teamkills,teamdeaths,teamkda,dragons,barons,dragons&barons,towers,inhibitors,tower&inhibitors,damagetochampions,visionscore,earnedgold
ESPORTSTMNT03_3169092,T1,1,14,8,3,7.333333333,4,1,5,10,2,12,42530,197,34296
ESPORTSTMNT03_3170048,T1,1,26,8,5,6.8,3,1,4,8,1,9,60248,316,36234
ESPORTSTMNT03_3170256,T1,0,26,10,16,2.25,2,0,2,2,0,2,52614,149,25996
ESPORTSTMNT03_3169305,T1,1,38,17,8,6.875,3,1,4,11,3,14,85569,224,40190
ESPORTSTMNT03_3170267,T1,0,23,11,15,2.266666667,1,0,1,3,0,3,63135,295,35188
ESPORTSTMNT01_3374638,T1,1,46,16,15,4.133333333,3,1,4,9,1,10,101286,393,46543
ESPORTSTMNT01_3372716,T1,1,37,18,6,9.166666667,4,1,5,11,3,14,65669,188,37309
ESPORTSTMNT01_3378634,T1,1,23,13,6,6,4,2,6,9,1,10,90502,372,49407
ESPORTSTMNT01_3378674,T1,1,38,14,4,13,1,1,2,10,2,12,50889,184,34408
ESPORTSTMNT01_3384667,T1,1,43,18,4,15.25,4,0,4,9,1,10,93377,278,39820
ESPORTSTMNT01_3384734,T1,1,43,19,5,12.4,3,1,4,11,3,14,77277,217,38864
ESPORTSTMNT01_3385759,T1,0,9,3,16,0.75,0,0,0,1,0,1,59158,242,27665
ESPORTSTMNT01_3386695,T1,0,13,7,22,0.909090909,1,0,1,3,0,3,39981,219,28081
ESPORTSTMNT02_3213774,T1,1,39,17,8,7,4,1,5,8,1,9,56837,233,37519
ESPORTSTMNT02_3216293,T1,1,54,24,12,6.5,4,1,5,9,1,10,93051,281,42592
ESPORTSTMNT02_3217260,T1,0,31,10,20,2.05,1,1,2,7,1,8,90403,310,36616
ESPORTSTMNT02_3218220,T1,1,42,13,7,7.857142857,2,1,3,11,3,14,60832,249,37997
ESPORTSTMNT02_3216786,T1,1,41,16,11,5.181818182,3,1,4,8,1,9,65793,209,40975
ESPORTSTMNT02_3217738,T1,0,4,2,19,0.315789474,1,0,1,3,0,3,50814,252,29753
ESPORTSTMNT02_3217759,T1,0,12,6,18,1,1,1,2,1,0,1,45193,259,34621
ESPORTSTMNT02_3217961,T1,0,2,1,21,0.142857143,0,0,0,1,0,1,41487,179,22985
ESPORTSTMNT02_3217972,T1,0,10,7,12,1.416666667,1,0,1,1,0,1,38909,213,29314
ESPORTSTMNT02_3220410,T1,1,37,18,7,7.857142857,4,2,6,8,1,9,92580,344,48465
ESPORTSTMNT02_3219847,T1,1,46,27,6,12.16666667,4,2,6,10,2,12,80497,253,44414
ESPORTSTMNT02_3221546,T1,0,33,16,15,3.266666667,3,2,5,6,0,6,91552,430,49741
ESPORTSTMNT02_3222016,T1,0,51,15,26,2.538461538,0,0,0,3,0,3,133877,311,50461
ESPORTSTMNT02_3220958,T1,0,6,3,17,0.529411765,2,0,2,1,0,1,30324,187,19942
ESPORTSTMNT02_3221926,T1,0,34,14,21,2.285714286,2,0,2,2,0,2,95249,393,41868
