gameid,teamname,result,assists,teamkills,teamdeaths,teamkda,dragons,barons,dragons&barons,towers,inhibitors,tower&inhibitors,damagetochampions,visionscore,earnedgold
9350-9350_game_3,LGD Gaming,1,43,19,12,5.166666667,3,2,5,9,1,10,90605,292,48941
6923-9262,LGD Gaming,0,6,2,12,0.666666667,1,0,1,2,0,2,32865,,23599
6923-9255,LGD Gaming,1,40,16,3,18.66666667,4,1,5,10,2,12,52224,,42672
6923-9260,LGD Gaming,0,5,4,15,0.6,1,0,1,3,0,3,33503,,26408
6930-9312,LGD Gaming,0,11,4,16,0.9375,1,0,1,1,0,1,40540,,25517
6930-9313,LGD Gaming,0,32,16,23,2.086956522,2,1,3,6,0,6,84421,,41762
6937-9369,LGD Gaming,0,4,2,13,0.461538462,2,0,2,3,0,3,41457,,28077
6937-9372,LGD Gaming,0,17,11,25,1.12,0,0,0,2,0,2,50788,168,25509
6947-9439,LGD Gaming,0,20,8,12,2.333333333,2,0,2,1,0,1,56606,,34664
6947-9441,LGD Gaming,0,10,5,13,1.153846154,1,0,1,3,0,3,35392,,26657
6955-9504,LGD Gaming,0,10,5,14,1.071428571,2,0,2,2,0,2,35215,,26405
6955-9506,LGD Gaming,0,10,3,17,0.764705882,1,0,1,2,0,2,58952,207,27608
6963-9558,LGD Gaming,1,38,14,17,3.058823529,2,0,2,7,1,8,83905,,44331
6963-9562,LGD Gaming,1,30,16,10,4.6,4,2,6,11,3,14,71845,,40414
7307-9669,LGD Gaming,1,38,17,3,18.33333333,4,1,5,11,2,13,66111,,39572
7307-9671,LGD Gaming,0,29,11,18,2.222222222,0,1,1,3,0,3,70718,,39336
7307-9675,LGD Gaming,1,32,12,0,∞,5,0,5,9,1,10,45623,,38827
7318-9733,LGD Gaming,0,9,4,16,0.8125,0,0,0,3,0,3,43436,,23740
7318-9736,LGD Gaming,0,14,7,23,0.913043478,0,0,0,2,0,2,61851,185,24988
7323-9770,LGD Gaming,0,1,1,12,0.166666667,2,0,2,1,0,1,28617,,20233
7323-9773,LGD Gaming,1,48,18,8,8.25,4,1,5,9,1,10,64192,,34954
7323-9776,LGD Gaming,0,18,9,21,1.285714286,2,0,2,3,0,3,51907,151,23744
7331-9822,LGD Gaming,0,1,2,13,0.230769231,1,0,1,1,0,1,26001,,17977
7331-9823,LGD Gaming,0,18,9,18,1.5,3,1,4,2,0,2,33218,,23174
7337-9862,LGD Gaming,1,57,24,12,6.75,3,1,4,9,1,10,83139,,46361
7337-9864,LGD Gaming,1,52,19,14,5.071428571,4,1,5,7,1,8,69544,,44440
7345-9916,LGD Gaming,1,63,19,11,7.454545455,4,2,6,10,2,12,67126,,45197
7345-9918,LGD Gaming,0,15,7,13,1.692307692,1,0,1,1,0,1,43609,,26077
7345-9919,LGD Gaming,1,38,17,12,4.583333333,5,1,6,8,1,9,98016,,52335
7347-9927,LGD Gaming,0,12,5,17,1,0,0,0,2,0,2,42264,,23629
7347-9928,LGD Gaming,1,45,18,6,10.5,4,1,5,9,1,10,69690,,38177
7347-9929,LGD Gaming,0,24,11,24,1.458333333,1,0,1,3,0,3,53930,,34744
7355-9945,LGD Gaming,0,5,3,17,0.470588235,1,0,1,0,0,0,33612,,22659
7355-9946,LGD Gaming,0,55,26,19,4.263157895,1,1,2,5,0,5,83888,,44278
7364-9964,LGD Gaming,0,56,21,33,2.333333333,0,1,1,2,0,2,66479,,36225
7364-9965,LGD Gaming,0,20,9,19,1.526315789,1,0,1,4,0,4,38324,,25143
7369-9975,LGD Gaming,0,29,10,10,3.9,3,0,3,3,0,3,74767,,38097
7369-9976,LGD Gaming,0,14,7,18,1.166666667,0,0,0,1,0,1,30142,,20867
7612-10322,LGD Gaming,1,60,21,7,11.57142857,3,1,4,9,1,10,75793,242,38226
7612-10323,LGD Gaming,0,53,23,21,3.619047619,4,1,5,6,0,6,106915,265,43338
7612-10324,LGD Gaming,0,17,6,18,1.277777778,2,1,3,2,0,2,61151,171,27171
7617-10335,LGD Gaming,1,61,21,14,5.857142857,2,1,3,8,1,9,98587,376,48342
7617-10336,LGD Gaming,1,51,21,14,5.142857143,1,1,2,9,2,11,63268,224,39937
7624-10375,LGD Gaming,1,35,18,5,10.6,2,1,3,9,2,11,70137,212,37925
7624-10378,LGD Gaming,0,9,6,21,0.714285714,1,0,1,2,0,2,59512,203,25406
7624-10381,LGD Gaming,0,10,5,24,0.625,0,0,0,1,0,1,44048,186,24228
7632-10443,LGD Gaming,0,47,18,21,3.095238095,1,0,1,3,0,3,62197,191,34326
7632-10444,LGD Gaming,1,52,19,4,17.75,3,2,5,9,2,11,89459,283,46212
7632-10447,LGD Gaming,1,38,14,3,17.33333333,1,1,2,9,1,10,51142,197,33831
7644-10534,LGD Gaming,0,10,6,15,1.066666667,2,0,2,2,0,2,74948,282,34492
7644-10538,LGD Gaming,0,36,20,23,2.434782609,4,1,5,10,3,13,100067,348,49954
7648-10565,LGD Gaming,1,43,19,9,6.888888889,4,0,4,9,1,10,73523,365,49471
7648-10569,LGD Gaming,0,14,7,16,1.3125,3,0,3,0,0,0,60168,254,29875
7648-10570,LGD Gaming,1,52,18,15,4.666666667,3,0,3,7,1,8,62547,261,37857
7654-10606,LGD Gaming,1,40,18,10,5.8,2,1,3,9,1,10,81418,244,40915
7654-10607,LGD Gaming,1,39,16,7,7.857142857,0,1,1,10,2,12,48921,193,35946
7657-10648,LGD Gaming,1,47,15,4,15.5,4,1,5,9,1,10,78368,215,36382
7657-10651,LGD Gaming,1,51,25,12,6.333333333,3,1,4,8,1,9,70341,206,42737
7669-10734,LGD Gaming,0,20,12,23,1.391304348,1,0,1,2,0,2,56293,194,29691
